label,attr
GOV_Station209_MES_ALL_assembly_NODE_3129_length_26678_cov_5.745521,ocean
GOV_Station22_SUR_ALL_assembly_NODE_1360_length_18620_cov_12.469755,ocean
Sorensen2021_B3R2H_VFD_S55_cat2_307,agsoil
GRE_089b5f25_scaffold_917_c1-cat_2,natsoil
GOV_Station111_MES_DO_NOT_POOL_NODE_911_length_38944_cov_23.664481,ocean
roux2019_F_Mid_2016_NODE_476_length_31833_cov_5_356639,peat
GOV_Station180_ZZZ_ALL_assembly_NODE_2549_length_24830_cov_15.208073,ocean
GOV_Station168_SUR_ALL_assembly_NODE_3594_length_22220_cov_39.053057,ocean
GOV_Station56_SUR_ALL_assembly_NODE_1465_length_14771_cov_6.162204,ocean
EV_3300000439_TBL_comb48_EPIDRAFT_1001938,other
GOV_Station189_MES_ALL_assembly_NODE_6499_length_14253_cov_31.030849,ocean
roux2019_B_Mid_2016_NODE_2080_length_10797_cov_2_242104,peat
GOV_Station100_DCM_ALL_assembly_NODE_86_length_60566_cov_6.717374,ocean
1_RHIZ_ALM_S16_858,agsoil
GOV_Station209_SUR_ALL_assembly_NODE_1855_length_33609_cov_8.170352,ocean
2_BU_ALM_S15_185,agsoil
EV_7000000494_SRS021477_Baylor_scaffold_15177,other
2_RHIZ_ALM_S17_576,agsoil
EV_7000000115_SRS055378_LANL_scaffold_15157,other
EV_3300003154_Ga0052186_10060842,other
citrus_rhizo_VB_AUSB_bulk_319,agsoil
GOV_Station41_DCM_ALL_assembly_NODE_639_length_18754_cov_68.028130,ocean
RR_6_8_frac_7697,agsoil
GOV_Station180_ZZZ_ALL_assembly_NODE_5709_length_13315_cov_11.334389,ocean
1_BU_ALM_S14_5345,agsoil
GOV_Station70_SUR_ALL_assembly_NODE_2360_length_12263_cov_3.585763,ocean
GOV_Station72_MES_ALL_assembly_NODE_3136_length_10106_cov_2.240573,ocean
3_RHIZ_ALM_S18_6210,agsoil
GOV_Station193_SUR_ALL_assembly_NODE_1366_length_26819_cov_8.694515,ocean
GOV_Station102_DCM_ALL_assembly_NODE_2038_length_12822_cov_19.743714,ocean
1_BU_ALM_S14_657,agsoil
RR_6_8_frac_2079,agsoil
GOV_Station189_MES_ALL_assembly_NODE_1615_length_34028_cov_4.843317,ocean
GOV_Station178_SUR_ALL_assembly_NODE_2886_length_26515_cov_56.259902,ocean
EV_3300002514_JGI25133J35611_10001188,other
GOV_Station66_SUR_ALL_assembly_NODE_1846_length_13295_cov_3.301813,ocean
1_BU_ALM_S14_3402,agsoil
GOV_Station137_DCM_ALL_assembly_NODE_1492_length_10721_cov_18.033846,ocean
roux2015_vdm_Bacilli_gi_481027825_215022_255439_Uncultured_Viruses,other
GOV_Station72_MES_ALL_assembly_NODE_732_length_28691_cov_3.314150,ocean
GOV_Station155_MES_ALL_assembly_NODE_6667_length_16021_cov_4.922648,ocean
GOV_Station122_DCM_ALL_assembly_NODE_1774_length_13507_cov_3.368347,ocean
GOV_Station34_SUR_ALL_assembly_NODE_1908_length_13258_cov_13.652958,ocean
EV_7000000176_SRS016200_WUGC_scaffold_48704,other
GOV_Station137_MES_DO_NOT_POOL_NODE_930_length_51277_cov_26.556636,ocean
GOV_Station37_MES_COMBINED_FINAL_NODE_614_length_49365_cov_8.689414,ocean
GOV_Station158_MES_ALL_assembly_NODE_2084_length_33329_cov_6.029152,ocean
GOV_Station68_MES_COMBINED_FINAL_NODE_1451_length_30743_cov_23.339579,ocean
GOV_Station111_SUR_ALL_assembly_NODE_458_length_26933_cov_8.963018,ocean
GOV_Station65_SUR_ALL_assembly_NODE_886_length_23445_cov_4.970372,ocean
GOV_Station168_SUR_ALL_assembly_NODE_7626_length_11885_cov_3.637532,ocean
EV_3300002488_JGI25128J35275_1000625,other
GOV_Station62_SUR_ALL_assembly_NODE_2420_length_10381_cov_1.980244,ocean
GOV_Station209_SUR_ALL_assembly_NODE_1605_length_36856_cov_10.327844,ocean
GOV_Station111_SUR_ALL_assembly_NODE_1104_length_14337_cov_3.327895,ocean
GOV_Station36_DCM_ALL_assembly_NODE_1216_length_11625_cov_3.292740,ocean
GOV_Station34_SUR_ALL_assembly_NODE_2505_length_11230_cov_7.466756,ocean
GOV_Station168_SUR_ALL_assembly_NODE_1566_length_42695_cov_18.587688,ocean
GOV_Station201_MES_ALL_assembly_NODE_1683_length_27711_cov_8.690411,ocean
1_BU_ALM_S14_3941,agsoil
GOV_Station67_SUR_ALL_assembly_NODE_1444_length_17788_cov_35.296002,ocean
EV_3300003375_JGI26470J50227_1000485,other
GOV_Station191_SUR_ALL_assembly_NODE_3806_length_11443_cov_2.957938,ocean
GOV_Station175_SUR_ALL_assembly_NODE_10269_length_11296_cov_8.433147,ocean
1_RHIZ_ALM_S16_931,agsoil
EV_7000000546_SRS019910_WUGC_scaffold_3948,other
GOV_Station111_SUR_ALL_assembly_NODE_402_length_28621_cov_4.641777,ocean
GOV_Station18_DCM_ALL_assembly_NODE_753_length_18462_cov_3.846037,ocean
EV_3300002835_B570J40625_100016585,other
EV_3300000164_SI39no09_200mDRAFT_c1001375,other
1_RHIZ_ALM_S16_5134,agsoil
GOV_Station64_MES_COMBINED_FINAL_NODE_442_length_83497_cov_9.141547,ocean
GOV_Station138_SUR_ALL_assembly_NODE_97_length_39589_cov_10.746421,ocean
EV_3300001349_JGI20160J14292_10000497,other
GOV_Station42_SUR_ALL_assembly_NODE_1024_length_16950_cov_4.740811,ocean
GOV_Station205_MES_ALL_assembly_NODE_6572_length_10968_cov_2.810410,ocean
1_BU_ALM_S14_4701,agsoil
biochar_703,agsoil
EV_7000000624_SRS024435_LANL_scaffold_23226,other
GOV_Station201_DCM_ALL_assembly_NODE_1642_length_28403_cov_70.064766,ocean
EV_3300000177_TB18AUG2009H_c000150,other
GOV_Station173_DCM_ALL_assembly_NODE_9030_length_12675_cov_3.877100,ocean
GOV_Station85_MES_COMBINED_FINAL_NODE_4580_length_12596_cov_4.293039,ocean
GOV_Station175_SUR_ALL_assembly_NODE_9258_length_12347_cov_3.453954,ocean
EV_3300000553_TBL_comb47_HYPODRAFT_10006902,other
2_RHIZ_ALM_S17_2820,agsoil
EV_3300003789_Ga0007835_1000128,other
EV_7000000232_SRS015578_WUGC_scaffold_29264,other
GOV_Station85_SUR_COMBINED_FINAL_NODE_1531_length_21775_cov_180.360958,ocean
citrus_rhizo_VB_SPBE_rhizo_793,agsoil
roux2019_P_Mid_2017_NODE_2730_length_12494_cov_2_360110,peat
GOV_Station206_MES_ALL_assembly_NODE_866_length_61924_cov_4.562511,ocean
roux2019_Erio_VIRSorter_contig_35268_cat_2,peat
GOV_Station111_DCM_ALL_assembly_NODE_971_length_23642_cov_3.316064,ocean
GOV_Station137_MES_COMBINED_FINAL_NODE_2891_length_22357_cov_8.590530,ocean
GOV_Station25_SUR_ALL_assembly_NODE_1084_length_20516_cov_3.567079,ocean
EV_7000000386_SRS018791_WUGC_scaffold_47185,other
GOV_Station196_SUR_ALL_assembly_NODE_2604_length_18127_cov_9.098993,ocean
biochar_3437,agsoil
GOV_Station64_SUR_ALL_assembly_NODE_2294_length_11647_cov_3.264665,ocean
GOV_Station64_DCM_ALL_assembly_NODE_1856_length_10445_cov_3.980751,ocean
GOV_Station158_MES_ALL_assembly_NODE_1377_length_44926_cov_5.644024,ocean
EV_3300001466_JGI20168J15290_1000012,other
GOV_Station155_DCM_ALL_assembly_NODE_2042_length_31930_cov_5.175498,ocean
GOV_Station72_MES_ALL_assembly_NODE_786_length_27300_cov_3.286952,ocean
1_RHIZ_ALM_S16_3249,agsoil
EV_7000000364_SRS051941_LANL_scaffold_15550,other
GOV_Station201_DCM_ALL_assembly_NODE_7172_length_11343_cov_5.043232,ocean
roux2015_vdm_Gammaproteobacteria_gi_545234404_153996__Uncultured_unclassified_Lambda-like_viruses,other
GOV_Station138_DCM_ALL_assembly_NODE_166_length_32006_cov_3.443773,ocean
GOV_Station155_DCM_ALL_assembly_NODE_2639_length_26920_cov_3.192295,ocean
GOV_Station209_MES_ALL_assembly_NODE_3762_length_23153_cov_11.410901,ocean
EV_2044078007_SPBFG_contig00863,other
GOV_Station189_MES_ALL_assembly_NODE_3572_length_21350_cov_9.147030,ocean
RR_6_8_frac_24428,agsoil
GOV_Station175_SUR_ALL_assembly_NODE_11781_length_10128_cov_43.771965,ocean
vik_2020_St08_omz_NODE_71_length_58697_cov_11.944613,ocean
li_2021_k141_578108_length_44806_cov_17.0004,ocean
li_2021_k141_2224830_length_18975_cov_17.6603,ocean
coutinho_2020_Baikal-summer-1250m-C3993,lake
coutinho_2020_BA1250-C17364,lake
coutinho_2020_Baikkal20m-C3772,lake
coutinho_2020_BA1350-5kb-C3626,lake
vik_2020_St16_oxyB_NODE_360_length_26324_cov_6.425711,ocean
vik_2020_St16_omzB_NODE_334_length_20783_cov_10.200116,ocean
coutinho_2020_Baikal-summer-1350m-C4324,lake
coutinho_2020_Baikal-BG-methane-300m-C3957,lake
vik_2020_St07_oxy_NODE_1809_length_11292_cov_9.024918,ocean
coutinho_2020_Baikal-BG-methane-390m-C323,lake
vik_2020_St17_oxy_NODE_721_length_22957_cov_18.388831,ocean
vik_2020_St16_scmB_NODE_452_length_21457_cov_10.079105,ocean
coutinho_2020_BA1250-C7125,lake
vik_2020_St16_scm_NODE_762_length_13673_cov_11.855118,ocean
coutinho_2020_Baikal-BG-methane-390m-C5358,lake
coutinho_2020_Baikkal20m-C276,lake
coutinho_2020_Baikal-summer-5m-C4076,lake
martins2018_Contig_542401,wetland
Hopland_2021_Santos_V09_VIR_S458_L004_84410,natsoil
Hopland_2021_Santos_V13_VIR_S445_L004_64357,natsoil
almond_CA_BU_D3_MACV_14296,agsoil
almond_CA_BU_H2_MAV_12334,agsoil
almond_CA_BU_H2_MAV_27072,agsoil
almond_CA_BU_H3_ESCV_45903,agsoil
almond_CA_BU_H3_MACV_40537,agsoil
almond_CA_RHIZ_D3_MACV_24766,agsoil
almond_CA_RHIZ_H1_MACV_13857,agsoil
almond_CA_RHIZ_H1_MACV_24574,agsoil
almond_CA_RHIZ_H1_MAV_20915,agsoil
almond_CA_RHIZ_H1_WLV_22541,agsoil
almond_CA_RHIZ_H2_MACV_13395,agsoil
almond_CA_RHIZ_H2_MACV_2210,agsoil
almond_CA_RHIZ_H2_WLV_5989,agsoil
almond_CA_RHIZ_H3_ESCV_14922,agsoil
almond_CA_RHIZ_H3_ESCV_22775,agsoil
almond_CA_RHIZ_H3_MAV_31987,agsoil
BB_2021_BMLF2_T1_V_12958,natsoil
BB_2021_DP3_T2_V_48504,natsoil
BB_2021_HC2_T3_V_10626,natsoil
RR_2018_RR642July_vir_S5_L001_virfinder_1271,agsoil
RR_2018_RR682Oct_vir_S8_L001_virsorter_628,agsoil
RR_tom_rhizo_2021_14C1BT3_14213,agsoil
RR_tom_rhizo_2021_14C1RT1_39589,agsoil
RR_tom_rhizo_2021_14C1RT3_97506,agsoil
RR_tom_rhizo_2021_14T1RT2_68132,agsoil
RR_tom_rhizo_2021_14T2BT3_37926,agsoil
RR_tom_rhizo_2021_55C1RT3_52980,agsoil
RR_tom_rhizo_2021_55C2BT1_11074,agsoil
RR_tom_rhizo_2021_55C2BT1_68388,agsoil
RR_tom_rhizo_2021_55C2RT1_108850,agsoil
RR_tom_rhizo_2021_55C2RT1_11957,agsoil
RR_tom_rhizo_2021_55T2BT3_8765,agsoil
RR_tom_rhizo_2021_55T2RT2_70513,agsoil
RR_tom_rhizo_2021_55T2RT3_22311,agsoil
RR_tom_rhizo_2021_78C2RT1_103901,agsoil
RR_tom_rhizo_2021_78C2RT1_53121,agsoil
RR_tom_rhizo_2021_78T1RT2_85194,agsoil
RR_tom_rhizo_2021_78T1RT3_67600,agsoil
RR_tom_rhizo_2021_78T2BT3_5057,agsoil
RR_tom_rhizo_2021_RHIZ_D1_MACV_61768,agsoil
GOV_Station209_MES_ALL_assembly_NODE_1703_length_41591_cov_31.267527,ocean
GOV_Station206_SUR_ALL_assembly_NODE_1692_length_28178_cov_20.603314,ocean
EV_2061766007_rumenHiSeq_NODE_4165720_len_26408_cov_1_026394,other
GOV_Station173_DCM_ALL_assembly_NODE_1037_length_63241_cov_344.687985,ocean
EV_3300002519_JGI25130J35507_1000070,other
1_RHIZ_ALM_S16_4135,agsoil
EV_3300001605_Draft_10001736,other
EV_3300003778_Ga0056904_1000623,other
GOV_Station189_MES_ALL_assembly_NODE_4864_length_17462_cov_3.937784,ocean
GOV_Station32_SUR_ALL_assembly_NODE_1348_length_14831_cov_6.330468,ocean
GOV_Station65_DCM_ALL_assembly_NODE_1867_length_14479_cov_6.263380,ocean
GOV_Station210_MES_ALL_assembly_NODE_5299_length_13990_cov_17.309437,ocean
tomato_rhizo_GH_1263,natsoil
GOV_Station205_MES_ALL_assembly_NODE_7381_length_10180_cov_8.340346,ocean
GOV_Station168_IZZ_ALL_assembly_NODE_1259_length_50832_cov_32.187565,ocean
GOV_Station194_DCM_ALL_assembly_NODE_1250_length_33651_cov_36.161061,ocean
GOV_Station100_DCM_ALL_assembly_NODE_604_length_28413_cov_5.712674,ocean
GOV_Station70_SUR_ALL_assembly_NODE_1493_length_16970_cov_12.276500,ocean
EV_7000000531_SRS049959_WUGC_scaffold_38105,other
GOV_Station85_MES_COMBINED_FINAL_NODE_5312_length_11429_cov_14.893793,ocean
EV_7000000252_C2209030,other
1_BU_ALM_S14_1006,agsoil
GOV_Station189_MES_ALL_assembly_NODE_10674_length_10088_cov_5.663710,ocean
GOV_Station100_SUR_SMARTER_KIT_NODE_252_length_22515_cov_27.002627,ocean
GOV_Station68_DCM_ALL_assembly_NODE_1261_length_13079_cov_7.014896,ocean
GOV_Station125_SUR_ALL_assembly_NODE_1666_length_12667_cov_8.083571,ocean
RR_6_8_frac_12045,agsoil
GOV_Station72_SUR_ALL_assembly_NODE_1826_length_11104_cov_3.527378,ocean
GOV_Station125_MXL_ALL_assembly_NODE_110_length_62357_cov_26.889586,ocean
citrus_rhizo_DVF_SAMO_rhizo_4004,agsoil
RR_6_8_frac_23451,agsoil
4_RHIZ_ALM_S19_7015,agsoil
GOV_Station36_SUR_ALL_assembly_NODE_105_length_72052_cov_67.264678,ocean
biochar_690,agsoil
RR_6_8_frac_2779,agsoil
GOV_Station25_SUR_ALL_assembly_NODE_1481_length_16996_cov_3.502450,ocean
EV_3300003478_JGI26238J51125_1000668,other
GOV_Station205_MES_ALL_assembly_NODE_1039_length_33965_cov_5.031967,ocean
GOV_Station65_SUR_ALL_assembly_NODE_469_length_32629_cov_11.372659,ocean
natural_reserves_2019_BB_1_1_S79_402,natsoil
EV_3300002514_JGI25133J35611_10001099,other
GOV_Station68_DCM_ALL_assembly_NODE_1257_length_13091_cov_25.303237,ocean
EV_3300003931_Ga0007822_1000113,other
natural_reserves_2019_BB_4_1_S82_32,natsoil
GOV_Station64_MES_COMBINED_FINAL_NODE_968_length_41928_cov_13.671005,ocean
GOV_Station180_SUR_ALL_assembly_NODE_2417_length_38059_cov_83.375513,ocean
GOV_Station34_DCM_ALL_assembly_NODE_401_length_32844_cov_16.422367,ocean
GOV_Station37_MES_COMBINED_FINAL_NODE_1249_length_30215_cov_14.917573,ocean
GOV_Station68_MES_COMBINED_FINAL_NODE_2210_length_22992_cov_5.712735,ocean
Sorensen2021_B8R2H_VFN_S50_cat2_234,agsoil
RR_6_8_frac_24005,agsoil
GOV_Station37_MES_COMBINED_FINAL_NODE_4839_length_10204_cov_11.079515,ocean
trubl2019_VIRSorter_NODE_468_length_40257_cov_15_8448-circular-cat_2,peat
RR_6_8_frac_2894,agsoil
EV_7000000501_SRS047265_WUGC_scaffold_24472,other
3_RHIZ_ALM_S18_5448,agsoil
2_RHIZ_ALM_S17_2335,agsoil
GOV_Station68_MES_DO_NOT_POOL_NODE_1317_length_30601_cov_9.296373,ocean
GOV_Station64_MES_COMBINED_FINAL_NODE_3360_length_17351_cov_11.189755,ocean
roux2019_B_Sur_2017_NODE_2731_length_11322_cov_2_290371,peat
natural_reserves_2019_BB_4_1_S82_245,natsoil
GOV_Station210_SUR_ALL_assembly_NODE_7454_length_16158_cov_10.644104,ocean
RR_6_8_frac_2457,agsoil
EV_7000000371_SRS047113_LANL_scaffold_82986,other
EV_7000000073_SRS021496_Baylor_scaffold_70843,other
GOV_Station189_DCM_ALL_assembly_NODE_4648_length_13714_cov_29.795593,ocean
GOV_Station111_MES_DO_NOT_POOL_NODE_5642_length_10877_cov_3.365367,ocean
biochar_132,agsoil
EV_3300002641_loc_101580244,other
natural_reserves_2019_QR_1_2_S75_137,natsoil
Sorensen2021_B8R2L_VFD_S56_cat2_209,agsoil
GOV_Station122_DCM_ALL_assembly_NODE_1175_length_19154_cov_46.461857,ocean
GOV_Station100_DCM_ALL_assembly_NODE_1134_length_19031_cov_19.230871,ocean
EV_3300000116_DelMOSpr2010_c10001105,other
roux2019_B_Deep_2017_NODE_2873_length_13296_cov_6_621014,peat
1_BU_ALM_S14_6142,agsoil
EV_3300000553_TBL_comb47_HYPODRAFT_10006523,other
2_RHIZ_ALM_S17_3794,agsoil
GOV_Station155_MES_ALL_assembly_NODE_11473_length_10559_cov_4.040175,ocean
EV_7000000183_SRS017127_Baylor_scaffold_10924,other
GOV_Station194_SUR_ALL_assembly_NODE_2995_length_14953_cov_12.682306,ocean
GOV_Station158_SUR_ALL_assembly_NODE_2123_length_36123_cov_41.836614,ocean
GOV_Station138_MES_COMBINED_FINAL_NODE_4138_length_18391_cov_4.015870,ocean
citrus_rhizo_VB_FRPH_bulk_1587,agsoil
GOV_Station68_SUR_ALL_assembly_NODE_2267_length_13915_cov_7.774964,ocean
GOV_Station155_MES_ALL_assembly_NODE_9767_length_11950_cov_3.143842,ocean
GOV_Station209_SUR_ALL_assembly_NODE_8547_length_11550_cov_4.589996,ocean
GOV_Station68_DCM_ALL_assembly_NODE_1982_length_10051_cov_5.250800,ocean
GOV_Station23_DCM_ALL_assembly_NODE_6_length_82205_cov_11.966987,ocean
GOV_Station191_SUR_ALL_assembly_NODE_688_length_31478_cov_16.035675,ocean
GOV_Station125_SUR_ALL_assembly_NODE_718_length_24590_cov_5.217526,ocean
EV_7000000194_SRS022077_Baylor_scaffold_49298,other
EV_3300000101_DelMOSum2010_c10001310,other
GOV_Station111_SUR_ALL_assembly_NODE_841_length_17765_cov_2.156635,ocean
GOV_Station68_MES_COMBINED_FINAL_NODE_3743_length_15730_cov_6.205295,ocean
GOV_Station188_DCM_ALL_assembly_NODE_5044_length_15114_cov_10.921708,ocean
GOV_Station201_DCM_ALL_assembly_NODE_4982_length_14410_cov_21.722466,ocean
GOV_Station100_DCM_ALL_assembly_NODE_1838_length_13399_cov_6.958858,ocean
EV_2162886006_SwRhRL3b_contig_319379,other
GOV_Station189_MES_ALL_assembly_NODE_8131_length_12177_cov_9.049002,ocean
GOV_Station124_SUR_ALL_assembly_NODE_2180_length_10952_cov_7.918969,ocean
GOV_Station194_DCM_ALL_assembly_NODE_1519_length_29688_cov_7.393784,ocean
GOV_Station193_SUR_ALL_assembly_NODE_1514_length_25094_cov_5.070849,ocean
GOV_Station175_SUR_ALL_assembly_NODE_4123_length_22673_cov_9.761915,ocean
1_RHIZ_ALM_S16_4463,agsoil
GOV_Station137_MES_DO_NOT_POOL_NODE_4313_length_15039_cov_9.080019,ocean
RR_6_8_frac_10840,agsoil
GOV_Station178_SUR_ALL_assembly_NODE_2008_length_34426_cov_5.352594,ocean
GOV_Station194_SUR_ALL_assembly_NODE_2322_length_17676_cov_3.182056,ocean
GOV_Station191_SUR_ALL_assembly_NODE_3768_length_11528_cov_263.646474,ocean
EV_3300002835_B570J40625_100023829,other
tomato_rhizo_GH_1329,natsoil
RR_6_8_frac_3479,agsoil
GOV_Station155_MES_ALL_assembly_NODE_4136_length_22569_cov_6.658923,ocean
4_RHIZ_ALM_S19_5855,agsoil
roux2015_vdm_Epsilonproteobacteria_gi_469933952_177_1_Uncultured_Caudovirales,other
EV_7000000316_SRS017511_Baylor_scaffold_80103,other
1_BU_ALM_S14_2590,agsoil
GOV_Station209_SUR_ALL_assembly_NODE_2644_length_26735_cov_7.237144,ocean
EV_7000000407_C3633984,other
GOV_Station64_DCM_ALL_assembly_NODE_952_length_15528_cov_2.984424,ocean
GOV_Station158_MES_ALL_assembly_NODE_7520_length_12180_cov_3.465402,ocean
EV_7000000233_SRS018573_WUGC_scaffold_30926,other
coutinho_2020_Baikkal20m-C206,lake
coutinho_2020_BA1350-5kb-C3193,lake
vik_2020_St08_uomzD_NODE_498_length_20815_cov_12.600048,ocean
vik_2020_St16_oxy_NODE_2149_length_11844_cov_5.065315,ocean
coutinho_2020_BA1250-C18282,lake
coutinho_2020_Baikal-summer-20m-C5579,lake
coutinho_2020_Baikal-BG-methane-390m-C7185,lake
vik_2020_St07_scmB_NODE_25_length_67066_cov_13.942010,ocean
coutinho_2020_Baikkal20m-C776,lake
coutinho_2020_BA1350-5kb-C6246,lake
coutinho_2020_Baikal-summer-1250m-C5292,lake
coutinho_2020_Baikal-BG-methane-300m-C4264,lake
coutinho_2020_BA1250-C15075,lake
coutinho_2020_Baikal-summer-5m-C5187,lake
coutinho_2020_Baikal-summer-5m-C108,lake
myriam_2020_VIRSorter_NODE_58_length_37910_cov_5_21545-cat_2,lake
coutinho_2020_BA1350-5kb-C5344,lake
vik_2020_St16_omzB_NODE_357_length_19665_cov_39.447680,ocean
coutinho_2020_BA1350-5kb-C10101,lake
vik_2020_St07_scm_NODE_893_length_16040_cov_9.809509,ocean
vik_2020_St14_omz_NODE_810_length_15618_cov_6.237165,ocean
coutinho_2020_BA1350-5kb-C11410,lake
vik_2020_St07_scmB_NODE_1201_length_12608_cov_5.342946,ocean
coutinho_2020_BA1350-5kb-C15405,lake
coutinho_2020_BA1350-5kb-C16621,lake
coutinho_2020_BA1250-C17097,lake
li_2021_k141_423076_length_10571_cov_14.4984,ocean
li_2021_k141_4561043_length_10553_cov_10.0000,ocean
vik_2020_St14_oxyB_NODE_103_length_47590_cov_62.573136,ocean
coutinho_2020_Baikal-summer-20m-C712,lake
myriam_2020_VIRSorter_NODE_482_length_15131_cov_31_438-cat_2,lake
coutinho_2020_Baikkal5m-C2378,lake
vik_2020_St14_oxyB_NODE_1401_length_11748_cov_6.641923,ocean
coutinho_2020_BA1350-5kb-C16174,lake
almond_CA_BU_D3_MACV_15679,agsoil
almond_CA_BU_D3_MACV_22605,agsoil
almond_CA_BU_H1_MACV_51972,agsoil
almond_CA_BU_H1_MACV_83306,agsoil
almond_CA_BU_H1_MAV_3356,agsoil
almond_CA_BU_H1_WLV_57600,agsoil
almond_CA_BU_H2_MACV_4063,agsoil
almond_CA_BU_H2_MACV_41874,agsoil
almond_CA_BU_H2_MAV_63118,agsoil
almond_CA_BU_H3_WLV_15425,agsoil
almond_CA_RHIZ_D3_MACV_8503,agsoil
almond_CA_RHIZ_H1_MACV_27117,agsoil
almond_CA_RHIZ_H2_ESCV_29341,agsoil
almond_CA_RHIZ_H2_MACV_7598,agsoil
almond_CA_RHIZ_H2_WLV_13583,agsoil
BB_2021_GPS3_T3_V_18284,natsoil
BB_2021_HC2_T2_V_37679,natsoil
BB_2021_HC2_T3_V_34947,natsoil
RR_2018_RR682Oct_vir_S8_L001_virfinder_908,agsoil
RR_tom_rhizo_2021_14C1RT3_94981,agsoil
RR_tom_rhizo_2021_14C2BT3_42055,agsoil
RR_tom_rhizo_2021_14T1BT1_30684,agsoil
RR_tom_rhizo_2021_14T2BT3_21895,agsoil
RR_tom_rhizo_2021_14T2BT3_5907,agsoil
RR_tom_rhizo_2021_14T2RT1_107765,agsoil
RR_tom_rhizo_2021_14T2RT1_125837,agsoil
RR_tom_rhizo_2021_14T2RT1_66425,agsoil
RR_tom_rhizo_2021_14T2RT2_44262,agsoil
RR_tom_rhizo_2021_55C1RT1_146612,agsoil
RR_tom_rhizo_2021_55C1RT1_89153,agsoil
RR_tom_rhizo_2021_55T1RT1_52344,agsoil
RR_tom_rhizo_2021_55T2BT1_64276,agsoil
RR_tom_rhizo_2021_55T2RT3_21140,agsoil
